,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
14472,14851,My DoItAll,Nintendo DS,2009,Misc,Tomy Corporation,0.02,0.0,0.0,0.0,0.03
14473,14853,Shakugan no Shana,Sony PlayStation 2,2006,Adventure,Media Works,0.0,0.0,0.03,0.0,0.03
14474,14854,Monster Mayhem: Build and Battle,Nintendo Wii,2009,Simulation,Zushi Games,0.02,0.0,0.0,0.0,0.03
14475,14855,I Heart Geeks,Nintendo DS,2011,Puzzle,CDV Software Entertainment,0.02,0.0,0.0,0.0,0.03
14476,14856,Hokuto no Ken: Hokuto Shinken Denshousha no Michi,Nintendo DS,2008,Action,Spike,0.0,0.0,0.03,0.0,0.03
14477,14857,The Lord of the Rings: Conquest,PC,2009,Action,Electronic Arts,0.0,0.02,0.0,0.0,0.03
14478,14859,Wand of Fortune 2: Jikuu ni Shizumu Mokushiroku,Sony PlayStation Portable,2011,Adventure,Idea Factory,0.0,0.0,0.03,0.0,0.03
14479,14860,Little Busters! Converted Edition,Sony Playstation Vita,2012,Action,Prototype,0.0,0.0,0.03,0.0,0.03
14480,14861,Hankou Shashin,Sega Saturn,1996,Adventure,Imagineer,0.0,0.0,0.03,0.0,0.03
14481,14862,MeiQ no Chika Ni Shisu: A Maze to Eradicate Them All,Sony Playstation Vita,2015,Role-Playing,Idea Factory,0.0,0.01,0.01,0.0,0.03
14482,14863,Marker Man Adventures,Nintendo DS,2009,Platform,Majesco Entertainment,0.02,0.0,0.0,0.0,0.03
14483,14864,Capcom Digital Collection,Microsoft Xbox 360,2012,Action,Capcom,0.02,0.01,0.0,0.0,0.03
14484,14865,Pro Yakyuu Family Stadium,Nintendo Wii,2008,Sports,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03
14485,14866,Open Season,Sony PlayStation 2,2006,Platform,Ubisoft,0.01,0.01,0.0,0.0,0.03
14486,14867,Monster Hunter Frontier Online: Forward 2,Microsoft Xbox 360,2011,Role-Playing,Capcom,0.0,0.0,0.03,0.0,0.03
14487,14868,Moyashimon DS,Nintendo DS,2009,Action,Takara Tomy,0.0,0.0,0.03,0.0,0.03
14488,14869,A Ressha de Gyoukou 2001,Sony PlayStation 2,2001,Simulation,ArtDink,0.0,0.0,0.03,0.0,0.03
14489,14870,Diabolik Lovers: Lunatic Parade,Sony Playstation Vita,2016,Adventure,Idea Factory,0.0,0.0,0.03,0.0,0.03
14490,14871,Let's Dance with Mel B,Nintendo Wii,2011,Sports,Black Bean Games,0.0,0.02,0.0,0.0,0.03
14491,14872,Battlestations: Pacific,PC,2009,Strategy,Eidos Interactive,0.0,0.02,0.0,0.0,0.03
14492,14873,Neverwinter Nights 2,PC,2006,Role-Playing,Atari,0.0,0.02,0.0,0.0,0.03
14493,14874,Starry ? Sky: In Autumn,Sony PlayStation Portable,2010,Misc,Asgard,0.0,0.0,0.03,0.0,0.03
14494,14875,Battlefield 1942,PC,2002,Shooter,Electronic Arts,0.01,0.01,0.0,0.0,0.03
14495,14876,Back to the Future: The Game,Microsoft Xbox 360,2015,Adventure,Telltale Games,0.02,0.01,0.0,0.0,0.03
14496,14877,Pitball,Sony PlayStation,1996,Sports,Time Warner Interactive,0.01,0.01,0.0,0.0,0.03
14497,14878,X-Men Origins: Wolverine - Uncaged Edition,PC,2009,Action,Activision,0.02,0.0,0.0,0.0,0.03
14498,14880,D.C. III: Da Capo III,Sony PlayStation Portable,2013,Adventure,Kadokawa Games,0.0,0.0,0.03,0.0,0.03
14499,14881,Judge Dredd: Dredd Vs Death,Sony PlayStation 2,2003,Shooter,BAM! Entertainment,0.01,0.01,0.0,0.0,0.03
14500,14882,Ocean Commander,Nintendo Wii,2009,Simulation,Valcon Games,0.02,0.0,0.0,0.0,0.03
14501,14883,Drome Racers,Nintendo Game Boy Advance,2003,Racing,THQ,0.02,0.01,0.0,0.0,0.03
14502,14884,Wand of Fortune 2 FD: Kimi ni Sasageru Epilogue,Sony PlayStation Portable,2012,Adventure,Idea Factory,0.0,0.0,0.03,0.0,0.03
14503,14885,God Eater Off Shot: Lindow-hen Twin Pack & Animation Vol. 2,Sony PlayStation 4,2015,Misc,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03
14504,14886,Tank Beat,Nintendo DS,2006,Strategy,Midas Interactive Entertainment,0.01,0.01,0.0,0.0,0.03
14505,14887,LEGO Pirates of the Caribbean: The Video Game,PC,2011,Action,Disney Interactive Studios,0.02,0.0,0.0,0.0,0.03
14506,14888,Turbo: Super Stunt Squad,Nintendo Wii U,2013,Sports,D3Publisher,0.0,0.02,0.0,0.0,0.03
14507,14889,Jurassic Park: Operation Genesis,PC,2003,Simulation,Vivendi Games,0.0,0.02,0.0,0.0,0.03
14508,14890,The Peanuts Movie: Snoopy's Grand Adventure,Microsoft Xbox 360,2015,Action,Activision,0.0,0.02,0.0,0.0,0.03
14509,14891,Tenkaichi * Sengoku Lovers,Nintendo DS,2010,Adventure,Rocket Company,0.0,0.0,0.03,0.0,0.03
14510,14892,Daito Giken Koushiki Pachi-Slot Simulator Hihouden: Taiyou o Motomeru Monotachi,Sony PlayStation 3,2013,Misc,Paon Corporation,0.0,0.0,0.03,0.0,0.03
14511,14893,Jissen Pachi-Slot Hisshouhou! Hokuto no Ken 2,Sony PlayStation 2,2007,Misc,Sega,0.0,0.0,0.03,0.0,0.03
14512,14894,Bode Miller Alpine Skiing,Sony PlayStation 2,2006,Sports,Valcon Games,0.01,0.01,0.0,0.0,0.03
14513,14895,Mahou Sensei Negima! Private Lesson 2: Ojama Shimasu Parasite de Chu,Nintendo Game Boy Advance,2006,Role-Playing,Marvelous Interactive,0.0,0.0,0.02,0.0,0.03
14514,14896,R-Type Delta,Sony PlayStation,1998,Shooter,Irem Software Engineering,0.01,0.01,0.0,0.0,0.03
14515,14897,Angelique: Maren no Rokukishi,Sony PlayStation Portable,2011,Adventure,Idea Factory,0.0,0.0,0.03,0.0,0.03
14516,14898,Soul Eater: Battle Resonance,Sony PlayStation Portable,2009,Action,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03
14517,14899,Psycho-Pass: Mandatory Happiness,Sony PlayStation 4,2016,Adventure,Nippon Ichi Software,0.02,0.0,0.0,0.0,0.03
14518,14900,Hisshou Pachinko*Pachi-slot Kouryaku Series DS Vol. 3: Shinseiki Evangelion - Yakusoku no Toki,Nintendo DS,2008,Misc,D3Publisher,0.0,0.0,0.03,0.0,0.03
14519,14901,The Great Battle Gaiden 2: Matsuri da Wasshoi,Super Nintendo Entertainment System,1994,Action,Banpresto,0.0,0.0,0.03,0.0,0.03
14520,14902,Napoleon Dynamite: The Game,Nintendo DS,2007,Puzzle,Crave Entertainment,0.02,0.0,0.0,0.0,0.03
14521,14903,Shinseiki Evangelion Ayanami Ikusei Keikaku DS with Asuka Hokan Keikaku,Nintendo DS,2008,Simulation,Broccoli,0.0,0.0,0.03,0.0,0.03
14522,14904,Rock 'N' Roll Adventures,Nintendo Wii,2007,Platform,Popcorn Arcade,0.02,0.0,0.0,0.0,0.03
14523,14905,War Gods,Sony PlayStation,1996,Fighting,GT Interactive,0.01,0.01,0.0,0.0,0.03
14524,14906,Evangelion: Jo,Sony PlayStation 2,2009,Action,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03
14525,14907,Doki Oki,Sony PlayStation,1995,Adventure,Banpresto,0.0,0.0,0.02,0.0,0.03
14526,14908,Gakuen Alice: WakuWaku * Happy Friends,Nintendo DS,2007,Adventure,Kids Station,0.0,0.0,0.03,0.0,0.03
14527,14909,Kyokugen Dasshutsu ADV: Zennin Shiboudesu,Sony Playstation Vita,2012,Adventure,ChunSoft,0.0,0.0,0.03,0.0,0.03
14528,14910,Konohana 2: Todoke Kanai Requiem,Sony PlayStation 2,2002,Adventure,Success,0.0,0.0,0.03,0.0,0.03
14529,14911,Derby Time 2006,Sony PlayStation Portable,2006,Sports,Sony Computer Entertainment,0.0,0.0,0.03,0.0,0.03
14530,14912,Yuusha Shisu.,Sony Playstation Vita,2016,Role-Playing,Nippon Ichi Software,0.0,0.0,0.02,0.0,0.02
14531,14913,Monster Mayhem: Build and Battle,Nintendo DS,2009,Simulation,Zushi Games,0.02,0.0,0.0,0.0,0.02
14532,14914,Senjou no Waltz,Sony Playstation Vita,2014,Adventure,Idea Factory,0.0,0.0,0.02,0.0,0.02
14533,14915,Chuck E. Cheese's Sports Games,Nintendo Wii,2011,Sports,UFO Interactive,0.02,0.0,0.0,0.0,0.02
14534,14916,Ghostbusters (2016),Microsoft Xbox One,2016,Action,Activision,0.02,0.0,0.0,0.0,0.02
14535,14917,Stronghold 2 Deluxe,PC,2005,Strategy,Take-Two Interactive,0.0,0.02,0.0,0.0,0.02
14536,14918,MAPLUS: Portable Navi 3,Sony PlayStation Portable,2009,Misc,Edia,0.0,0.0,0.02,0.0,0.02
14537,14919,DEATH NOTE: L o Tsugu Mono,Nintendo DS,2007,Adventure,Konami Digital Entertainment,0.0,0.0,0.02,0.0,0.02
14538,14920,ZooCube,Nintendo GameCube,2002,Puzzle,Acclaim Entertainment,0.02,0.0,0.0,0.0,0.02
14539,14921,Puppet Show 3: Lost Town,PC,2011,Puzzle,Focus Home Interactive,0.0,0.02,0.0,0.0,0.02
14540,14922,Star Wars: Empire at War - Forces of Corruption,PC,2006,Strategy,LucasArts,0.0,0.02,0.0,0.0,0.02
14541,14923,Spy Hunter / Super Sprint,Nintendo Game Boy Advance,2005,Racing,Zoo Digital Publishing,0.02,0.01,0.0,0.0,0.02
14542,14924,Otometeki Koi Kakumei * Love Revo! Portable,Sony PlayStation Portable,2010,Adventure,Idea Factory,0.0,0.0,0.02,0.0,0.02
14543,14925,Clover no Kuni no Alice: Wonderful Wonder World,Sony PlayStation 2,2010,Adventure,Prototype,0.0,0.0,0.02,0.0,0.02
14544,14926,Room Zoom: Race for Impact,Microsoft Xbox,2004,Racing,Jaleco,0.02,0.01,0.0,0.0,0.02
14545,14927,Yahari Game Demo Ore no Seishun Love-Kome Hamachi Gatteiru,Sony Playstation Vita,2013,Adventure,5pb,0.0,0.0,0.02,0.0,0.02
14546,14929,Ghost Pirates of Vooju Island,PC,2009,Adventure,DTP Entertainment,0.0,0.02,0.0,0.0,0.02
14547,14930,America Oudan Ultra-Quiz,Sega Saturn,1995,Misc,Victor Interactive,0.0,0.0,0.02,0.0,0.02
14548,14931,DoDonPachi Dai-Oujou: Black Label Extra,Microsoft Xbox 360,2009,Shooter,5pb,0.0,0.0,0.02,0.0,0.02
14549,14932,Mind Your Language: Learn English! / French! / German! / Spanish! /Japanese!,Nintendo DS,2009,Misc,PlayV,0.0,0.02,0.0,0.0,0.02
14550,14933,ParaWorld,PC,2006,Strategy,Deep Silver,0.0,0.02,0.0,0.0,0.02
14551,14934,Tropico Reloaded,PC,2009,Strategy,Kalypso Media,0.0,0.02,0.0,0.0,0.02
14552,14935,Shinseiki Evangelion: Battle Orchestra,Sony PlayStation 2,2007,Fighting,Broccoli,0.0,0.0,0.02,0.0,0.02
14553,14936,Pharaoh,PC,1998,Strategy,Vivendi Games,0.0,0.02,0.0,0.0,0.02
14554,14937,Vampire Mansion: Linda Hyde,Nintendo DS,2011,Adventure,Unknown,0.0,0.02,0.0,0.0,0.02
14555,14938,Yes! Precure 5 Go Go Zenin Shu Go! Dream Festival,Nintendo DS,2008,Action,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02
14556,14939,Battlefield 2: Modern Combat(JP sales),Sony PlayStation 2,2005,Shooter,Electronic Arts,0.0,0.0,0.02,0.0,0.02
14557,14940,The Idolmaster: Gravure For You! Vol.7,Sony PlayStation 3,2012,Action,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02
14558,14941,Stake: Fortune Fighters,Microsoft Xbox,2003,Fighting,Metro 3D,0.02,0.01,0.0,0.0,0.02
14559,14942,Serious Sam Advance,Nintendo Game Boy Advance,2004,Shooter,Global Star,0.02,0.01,0.0,0.0,0.02
14560,14943,The Settlers: Rise of an Empire,PC,2007,Strategy,Ubisoft,0.01,0.01,0.0,0.0,0.02
14561,14944,Let's Play Garden,Nintendo Wii,2010,Simulation,Deep Silver,0.02,0.0,0.0,0.0,0.02
14562,14946,Pop'n Music 12 Iroha,Sony PlayStation 2,2006,Simulation,Konami Digital Entertainment,0.0,0.0,0.02,0.0,0.02
14563,14947,BeatMania IIDX 11: IIDX Red,Sony PlayStation 2,2006,Simulation,Konami Digital Entertainment,0.0,0.0,0.02,0.0,0.02
14564,14948,Warhammer Online: Age of Reckoning,PC,2008,Role-Playing,GOA,0.0,0.02,0.0,0.0,0.02
14565,14949,Jikkyou Powerful Pro Yakyuu 12 Ketteiban,Nintendo GameCube,2005,Sports,Konami Digital Entertainment,0.0,0.0,0.02,0.0,0.02
14566,14950,Road Trip: The Arcade Edition,Nintendo GameCube,2002,Racing,Zoo Digital Publishing,0.02,0.0,0.0,0.0,0.02
14567,14951,Juusanshi Engi Engetsu Sangokuden 2,Sony PlayStation Portable,2014,Action,Idea Factory,0.0,0.0,0.02,0.0,0.02
14568,14952,No More Heroes: Heroes' Paradise,Microsoft Xbox 360,2010,Action,Marvelous Interactive,0.0,0.0,0.02,0.0,0.02
14569,14953,Virtua Tennis: World Tour (jp sales),Sony PlayStation Portable,2005,Sports,Sega,0.0,0.0,0.02,0.0,0.02
14570,14954,World Series of Poker 2008: Battle for the Bracelets,Sony PlayStation Portable,2007,Misc,Activision,0.02,0.0,0.0,0.0,0.02
14571,14955,Ano Hi Mita Hana no Namae o Bokutachi wa Mada Shiranai,Sony PlayStation Portable,2012,Action,5pb,0.0,0.0,0.02,0.0,0.02
14572,14956,Cold War,Microsoft Xbox,2005,Shooter,DreamCatcher Interactive,0.02,0.01,0.0,0.0,0.02
14573,14957,Steel Battalion: Line of Contact,Microsoft Xbox,2004,Simulation,Capcom,0.02,0.01,0.0,0.0,0.02
14574,14958,Naruto Shippuden: Ultimate Ninja Storm Collection,Sony PlayStation 3,2016,Action,Namco Bandai Games,0.0,0.02,0.0,0.0,0.02
14575,14959,Ken to Mahou to Gakuen Mono. 2G,Sony PlayStation 3,2010,Role-Playing,Acquire,0.0,0.0,0.02,0.0,0.02
14576,14960,NBA Starting Five,Microsoft Xbox,2002,Sports,Konami Digital Entertainment,0.02,0.01,0.0,0.0,0.02
14577,14961,Kami Naru Kimi to,Sony PlayStation Portable,2011,Adventure,Idea Factory,0.0,0.0,0.02,0.0,0.02
14578,14962,Spy Hunter: Nowhere To Run,Sony PlayStation 2,2006,Racing,Midway Games,0.01,0.01,0.0,0.0,0.02
14579,14963,LEGO Harry Potter: Years 1-4,PC,2010,Action,Warner Bros. Interactive Entertainment,0.01,0.01,0.0,0.0,0.02
14580,14964,Ikki Tousen: Eloquent Fist,Sony PlayStation Portable,2008,Fighting,Marvelous Interactive,0.0,0.0,0.02,0.0,0.02
14581,14965,Viva Pinata,PC,2007,Simulation,Microsoft Game Studios,0.0,0.02,0.0,0.0,0.02
14582,14966,Carmen Sandiego: The Secret of the Stolen Drums,Microsoft Xbox,2004,Action,BAM! Entertainment,0.02,0.01,0.0,0.0,0.02
14583,14967,Disney's Magical Quest 3 Starring Mickey and Donald,Nintendo Game Boy Advance,2003,Action,Capcom,0.02,0.01,0.0,0.0,0.02
14584,14968,Chili Con Carnage,Sony PlayStation Portable,2007,Shooter,Eidos Interactive,0.0,0.02,0.0,0.01,0.02
14585,14969,Bus Simulator 16,PC,2016,Simulation,Astragon,0.0,0.02,0.0,0.0,0.02
14586,14970,Rengoku II:  The Stairway To H.E.A.V.E.N.,Sony PlayStation Portable,2006,Action,Konami Digital Entertainment,0.02,0.0,0.0,0.0,0.02
14587,14971,Teddy Together,Nintendo 3DS,2016,Simulation,Nintendo,0.0,0.02,0.0,0.0,0.02
14588,14972,Pony Luv,Nintendo DS,2008,Simulation,GSP,0.02,0.0,0.0,0.0,0.02
14589,14973,Strike Witches 2: Iyasu Naosu Punipunisuru,Nintendo DS,2010,Action,Kadokawa Shoten,0.0,0.0,0.02,0.0,0.02
14590,14974,Omega Quintet,Sony PlayStation 4,2014,Role-Playing,Compile Heart,0.0,0.0,0.02,0.0,0.02
14591,14975,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.1,Sony PlayStation 3,2015,Action,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02
14592,14976,Demigod,PC,2009,Strategy,Atari,0.0,0.02,0.0,0.0,0.02
14593,14977,The Voice,Sony PlayStation 3,2014,Action,Activision,0.02,0.0,0.0,0.0,0.02
14594,14978,"Ed, Edd n Eddy: The Mis-Edventures",Microsoft Xbox,2005,Platform,Midway Games,0.02,0.01,0.0,0.0,0.02
14595,14979,Bunmei Haruka: Aoiza Ibunroku,Sony PlayStation Portable,2011,Action,FuRyu,0.0,0.0,0.02,0.0,0.02
14596,14980,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.6,Sony PlayStation 3,2015,Adventure,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02
14597,14981,Blade Arcus from Shining EX,Sony PlayStation 4,2015,Fighting,Sega,0.0,0.0,0.02,0.0,0.02
14598,14982,Vantage Master Portable,Sony PlayStation Portable,2008,Role-Playing,Falcom Corporation,0.0,0.0,0.02,0.0,0.02
14599,14983,Lilpri DS: Hime-Chen! Apple Pink,Nintendo DS,2010,Adventure,Sega,0.0,0.0,0.02,0.0,0.02
14600,14984,Star Trek Online,PC,2010,Role-Playing,Atari,0.0,0.02,0.0,0.0,0.02
14601,14985,Rapala for Kinect,Microsoft Xbox 360,2011,Sports,Activision,0.0,0.02,0.0,0.0,0.02
14602,14986,Rugby Challenge 3,Microsoft Xbox 360,2016,Sports,Alternative Software,0.0,0.02,0.0,0.0,0.02
14603,14987,"Hisshou Pachinko*Pachi-Slot Kouryaku Series DS Vol. 1: Shinseiki Evangelion - Magokoro o, Kimi ni",Nintendo DS,2008,Misc,D3Publisher,0.0,0.0,0.02,0.0,0.02
14604,14988,Diabolik Lovers: Vandead Carnival,Sony Playstation Vita,2014,Action,Idea Factory,0.0,0.0,0.02,0.0,0.02
14605,14989,O.M.G. 26 - Our Mini Games,Nintendo DS,2007,Puzzle,505 Games,0.02,0.0,0.0,0.0,0.02
14606,14990,Ty the Tasmanian Tiger 3: Night of the Quinkan,Microsoft Xbox,2005,Action,Zoo Digital Publishing,0.02,0.01,0.0,0.0,0.02
14607,14991,AMF Xtreme Bowling,Sony PlayStation 2,2006,Sports,Mastertronic,0.01,0.01,0.0,0.0,0.02
14608,14992,Total Overdose: A Gunslinger's Tale in Mexico,Microsoft Xbox,2005,Shooter,Eidos Interactive,0.02,0.01,0.0,0.0,0.02
14609,14993,Bomberman Fantasy Race,Sony PlayStation,1998,Racing,Virgin Interactive,0.01,0.01,0.0,0.0,0.02
14610,14994,Colin McRae Rally 2.0,Nintendo Game Boy Advance,2002,Racing,Codemasters,0.02,0.01,0.0,0.0,0.02
14611,14995,Carnage Heart EXA,Sony PlayStation Portable,2010,Strategy,ArtDink,0.0,0.0,0.02,0.0,0.02
14612,14996,Tropico 4: Modern Times,PC,2012,Strategy,Kalypso Media,0.0,0.02,0.0,0.0,0.02
14613,14997,Europa Universalis III Complete,PC,2008,Strategy,Paradox Interactive,0.0,0.02,0.0,0.0,0.02
14614,14998,Bugriders: The Race of Kings,Sony PlayStation,1997,Racing,GT Interactive,0.01,0.01,0.0,0.0,0.02
14615,14999,Bust-A-Move,3DO Multiplayer,1994,Puzzle,Micro Cabin,0.0,0.0,0.02,0.0,0.02
14616,15003,Wangan Midnight Portable,Sony PlayStation Portable,2007,Racing,Genki,0.0,0.0,0.02,0.0,0.02
14617,15004,Cross Ange: Tenshi to Ryuu no Rondo tr.,Sony Playstation Vita,2015,Action,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02
14618,15005,Canvas 2,Sony PlayStation 2,2006,Adventure,Kadokawa Shoten,0.0,0.0,0.02,0.0,0.02
14619,15006,Memories Off: Sorekara Again,Sony PlayStation 2,2006,Adventure,KID,0.0,0.0,0.02,0.0,0.02
14620,15007,Tom Clancy's Rainbow Six: Vegas 2,PC,2008,Shooter,Ubisoft,0.0,0.02,0.0,0.0,0.02
14621,15008,11eyes: CrossOver,Microsoft Xbox 360,2009,Adventure,5pb,0.0,0.0,0.02,0.0,0.02
14622,15009,Kenka Bancho Otome,Sony Playstation Vita,2016,Action,Screenlife,0.0,0.0,0.02,0.0,0.02
14623,15010,Supermodel Makeover by Lauren Luke,Nintendo DS,2009,Simulation,Avanquest,0.0,0.02,0.0,0.0,0.02
14624,15011,George of the Jungle and the Search for the Secret,Nintendo Wii,2008,Platform,Ignition Entertainment,0.02,0.0,0.0,0.0,0.02
14625,15012,AirForce Delta Storm,Nintendo Game Boy Advance,2002,Shooter,Konami Digital Entertainment,0.02,0.01,0.0,0.0,0.02
14626,15013,Serious Sam HD: Gold Edition,Microsoft Xbox 360,2011,Shooter,Mastertronic,0.0,0.02,0.0,0.0,0.02
14627,15014,Peter Pan in Disney's Return to Never Land,Sony PlayStation,2002,Platform,Sony Computer Entertainment,0.01,0.01,0.0,0.0,0.02
14628,15015,Ferrari Challenge Trofeo Pirelli Deluxe,Nintendo Wii,2009,Racing,System 3 Arcade Software,0.0,0.02,0.0,0.0,0.02
14629,15016,Xenosaga I·II,Nintendo DS,2006,Role-Playing,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02
14630,15017,SimCity Societies,PC,2007,Simulation,Electronic Arts,0.0,0.02,0.0,0.0,0.02
14631,15018,Mesaze!! Tsuri Master: Sekai ni Challenge! Hen,Nintendo Wii,2008,Sports,Hudson Soft,0.0,0.0,0.02,0.0,0.02
14632,15019,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.9,Sony PlayStation 3,2016,Misc,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02
14633,15020,Fishdom 2 Deluxe,PC,2010,Puzzle,Rondomedia,0.0,0.02,0.0,0.01,0.02
14634,15021,Kuusen II,Sony PlayStation 2,2004,Simulation,Kadokawa Shoten,0.0,0.0,0.02,0.0,0.02
14635,15022,Cross Channel: In Memory of All People,Microsoft Xbox 360,2011,Adventure,CyberFront,0.0,0.0,0.02,0.0,0.02
14636,15023,Bomberman Story DS,Nintendo DS,2007,Role-Playing,Rising Star Games,0.0,0.0,0.02,0.0,0.02
14637,15024,Penguins of Madagascar,Nintendo Wii,2014,Action,Namco Bandai Games,0.0,0.02,0.0,0.0,0.02
14638,15025,Clannad: Mitsumi Mamoru Sakamichi de - Joukan,Sony PlayStation Portable,2010,Adventure,Prototype,0.0,0.0,0.02,0.0,0.02
14639,15026,Brothers in Arms: Hell's Highway,PC,2008,Shooter,Ubisoft,0.0,0.02,0.0,0.0,0.02
14640,15027,Are You Alice?,Sony PlayStation Portable,2011,Adventure,Idea Factory,0.0,0.0,0.02,0.0,0.02
14641,15028,Future Tactics: The Uprising,Nintendo GameCube,2004,Strategy,JoWood Productions,0.02,0.0,0.0,0.0,0.02
14642,15029,Stronghold Crusader Extreme,PC,2008,Strategy,Gamecock,0.0,0.02,0.0,0.0,0.02
14643,15030,Kensei: Sacred Fist,Sony PlayStation,1997,Fighting,Konami Digital Entertainment,0.01,0.01,0.0,0.0,0.02
14644,15031,Backyard NFL Football,Nintendo DS,2007,Sports,Atari,0.02,0.0,0.0,0.0,0.02
14645,15032,Okashi na Shima no Peter Pan: Sweet Never Land,Sony PlayStation Portable,2011,Adventure,Quinrose,0.0,0.0,0.02,0.0,0.02
14646,15033,Urakata Hakuoki,Sony PlayStation Portable,2013,Adventure,Idea Factory,0.0,0.0,0.02,0.0,0.02
14647,15034,Cities XL 2011,PC,2010,Simulation,Focus Home Interactive,0.0,0.02,0.0,0.0,0.02
14648,15035,Kung Fu Panda,PC,2008,Action,Activision,0.0,0.02,0.0,0.0,0.02
14649,15036,Gift: Prism,Sony PlayStation 2,2006,Adventure,Sweets,0.0,0.0,0.02,0.0,0.02
14650,15037,PDC World Championship Darts: Pro Tour,Microsoft Xbox 360,2010,Sports,O-Games,0.0,0.02,0.0,0.0,0.02
14651,15038,Shanghai: True Valor,Sony PlayStation,1998,Puzzle,Activision,0.01,0.01,0.0,0.0,0.02
14652,15039,Tokyo Xanadu eX+,Sony PlayStation 4,2016,Role-Playing,Nihon Falcom Corporation,0.0,0.0,0.02,0.0,0.02
14653,15040,Major Dream: Major DS Dream Baseball,Nintendo DS,2008,Sports,Takara Tomy,0.0,0.0,0.02,0.0,0.02
14654,15041,Steins;Gate: Senkei Kousoku no Phonogram,Microsoft Xbox 360,2013,Adventure,5pb,0.0,0.0,0.02,0.0,0.02
14655,15042,Thunderbirds,Nintendo Game Boy Advance,2004,Shooter,Vivendi Games,0.02,0.01,0.0,0.0,0.02
14656,15043,Winning Post 8 2015,Sony Playstation Vita,2015,Action,Tecmo Koei,0.0,0.0,0.02,0.0,0.02
14657,15044,Vitamin Z Revolution,Sony PlayStation Portable,2010,Adventure,D3Publisher,0.0,0.0,0.02,0.0,0.02
14658,15045,Aria: The Origination ~Aoi Wakusei no El Cielo~,Sony PlayStation 2,2008,Adventure,Alchemist,0.0,0.0,0.02,0.0,0.02
14659,15046,Inkheart,Nintendo DS,2009,Adventure,DreamCatcher Interactive,0.02,0.0,0.0,0.0,0.02
14660,15047,Street Fighter X Tekken,PC,2012,Fighting,Capcom,0.0,0.02,0.0,0.0,0.02
14661,15048,Lunatic Dawn Tempest,Sony PlayStation 2,2001,Role-Playing,ArtDink,0.0,0.0,0.02,0.0,0.02
14662,15049,Ceville,PC,2009,Action,Kalypso Media,0.0,0.02,0.0,0.0,0.02
14663,15050,Strike Witches: Shirogane no Tsubasa,Sony PlayStation Portable,2012,Strategy,Kadokawa Shoten,0.0,0.0,0.02,0.0,0.02
14664,15051,Total Immersion Racing,Microsoft Xbox,2002,Racing,Empire Interactive,0.02,0.01,0.0,0.0,0.02
14665,15052,Totally Spies! 2: Undercover,Nintendo DS,2006,Action,Atari,0.01,0.01,0.0,0.0,0.02
14666,15053,Luxor: The Wrath of Set,Sony PlayStation Portable,2006,Puzzle,Mumbo Jumbo,0.02,0.0,0.0,0.0,0.02
14667,15054,Natalie Brooks: Mystery at Hillcrest High,Nintendo DS,2012,Action,Licensed 4U,0.0,0.02,0.0,0.0,0.02
14668,15055,NASCAR Heat Evolution,Microsoft Xbox One,2016,Racing,Dusenberry Martin Racing,0.02,0.0,0.0,0.0,0.02
14669,15056,Board Game: Top Shop,Sony PlayStation,1999,Misc,Success,0.01,0.01,0.0,0.0,0.02
14670,15057,NANA: Live Staff Daiboshuu! Shoshinsha Kangei,Nintendo DS,2007,Action,Konami Digital Entertainment,0.0,0.0,0.02,0.0,0.02
14671,15058,Castlevania: Lords of Shadow - Reverie,Microsoft Xbox 360,2011,Action,Konami Digital Entertainment,0.02,0.0,0.0,0.0,0.02
14672,15060,Cocoto Magic Circus,Nintendo Wii,2008,Shooter,Neko Entertainment,0.02,0.0,0.0,0.0,0.02
14673,15061,Zero no Tsukaima: Shou-akuma to Harukaze no Concerto,Sony PlayStation 2,2007,Adventure,Marvelous Interactive,0.0,0.0,0.02,0.0,0.02
14674,15062,Dunamis 15,Sony PlayStation 3,2011,Adventure,5pb,0.0,0.0,0.02,0.0,0.02
14675,15063,DemiKids: Dark Version,Nintendo Game Boy Advance,2002,Role-Playing,Atlus,0.02,0.01,0.0,0.0,0.02
14676,15064,Mage Knight: Destiny's Soldier,Nintendo DS,2006,Strategy,Namco Bandai Games,0.02,0.0,0.0,0.0,0.02
14677,15065,GT Legends,PC,2005,Racing,Atari,0.0,0.02,0.0,0.0,0.02
14678,15066,Blender Bros.,Nintendo Game Boy Advance,2002,Platform,Unknown,0.02,0.01,0.0,0.0,0.02
